1, -118.266208, 34.23029981, 185, 30, 30, 20,  Off
2, -118.468564, 34.2866668, 100, 30, 30, 20,  Off
3, -118.279789, 33.93919482, 270, 30, 30, 10, Off
4, -118.382065, 34.09133082, 170, 30, 30, 25, Off
5, -118.240711, 33.9746998, 0, 30, 30, 25, Off
6, -118.501117, 34.16580581, 89, 20, 20, 25, Off
7, -118.435066, 34.23540282, 0, 30, 30, 35, Off
8, -118.193821, 34.07633682, 88, 40, 40, 20, On
9, -118.267036, 34.0720168, 63, 30, 30, 25, On
10, -118.291759, 34.06200883, 251, 50, 50, 25, Off
11, -118.266208, 34.23029981, 185, 30, 30, 20,  Off

1, -118.302838, 34.23263083, 210, 40, 40, 30,  Off
2, -118.470814, 34.2754708, 100, 50, 50, 35,  Off
3, -118.280761, 33.9671128, 270, 40, 40, 20, On
4, -118.395358, 34.0887208, 170, 40, 40, 27, Off
5, -118.251412, 33.9747088, 0, 60, 60, 35, On
6, -118.5009169, 34.18072392, 271, 30, 30, 27, On
7, -118.460905, 34.2353668, 0, 45, 45, 40, On
8, -118.193704, 34.0796128, 56, 50, 50, 22, On
9, -118.263562, 34.07766882, 62, 50, 50, 25, On
10, -118.291813, 34.06914581, 251, 80, 80, 30, On
11, -118.302838, 34.23263083, 210, 40, 40, 30,  Off

1, -118.323907, 34.24433981, 250, 60, 60, 40,  On
2, -118.472135, 34.26845555, 90, 60, 60, 40,  On
3, -118.281706, 33.98909081, 275, 50, 50, 30, On
4, -118.406428, 34.08600283, 150, 45, 45, 30, Off
5, -118.265173, 33.9747088, 0, 60, 60, 35, On
6, -118.5011236, 34.1920018, 90, 40, 40, 30, On
7, -118.484971, 34.23540282, 355, 70, 70, 60, On
8, -118.1914527, 34.08239274, 48, 60, 60, 25, On
9, -118.260079, 34.0831228, 83, 70, 70, 35, On
10, -118.291876, 34.07650783, 88, 120, 120, 40, On
11, -118.323907, 34.24433981, 250, 60, 60, 40,  On

1, -118.333006, 34.26510282, 195, 80, 80, 50,  On
2, -118.47193, 34.25720083, 94, 80, 80, 50,  On
3, -118.278907, 34.01851181, 290, 80, 80, 40, On
4, -118.41559, 34.07938782, 185, 60, 60, 35, On
5, -118.273885, 33.9747088, 250, 60, 60, 35, On
6, -118.501117, 34.20950083, 276, 50, 50, 33, On
7, -118.5068746, 34.23715365, 5, 90, 90, 65, On
8, -118.187404, 34.08620982, 356, 70, 70, 28, On
9, -118.259206, 34.08990882, 50, 90, 90, 35, On
10, -118.2917173, 34.08359998, 252, 150, 150, 50, On
11, -118.333006, 34.26510282, 195, 80, 80, 50,  On

1, -118.3682609, 34.2732991, 193, 100, 100, 60,  On
2, -118.473037, 34.24270183, 90, 100, 100, 60,  On
3, -118.274011, 34.03826684, 186, 80, 80, 40, On
4, -118.425805, 34.08080982, 185, 60, 60, 35, On
5, -118.273894, 33.98230484, 251, 60, 60, 35, On
6, -118.502404, 34.22005781, 358, 60, 60, 35, On
7, -118.5275664, 34.23550639, 0, 70, 70, 50, On
8, -118.182427, 34.08590383, 10, 80, 80, 30, On
9, -118.254508, 34.09460684, 65, 110, 110, 35, On
10, -118.291912, 34.09090784, 0, 170, 170, 75, On
11, -118.3682609, 34.2732991, 193, 100, 100, 60,  On

1, -118.395538, 34.28039381, 187, 130, 130, 80,  On
2, -118.473037, 34.21911281, 91, 130, 130, 80,  On
3, -118.309012, 34.03790683, 180, 80, 80, 40, On
4, -118.434805, 34.08241182, 250, 60, 60, 35, On
5, -118.27395, 33.9942118, 251, 60, 60, 35, On
6, -118.53278, 34.22079818, 78, 60, 60, 35, On
7, -118.554586, 34.23530383, 257, 60, 60, 35, On
8, -118.176901, 34.08669581, 25, 110, 110, 30, On
9, -118.2509109, 34.10113271, 322, 110, 110, 30, On
10, -118.302712, 34.09090784, 0, 130, 130, 65, On
11, -118.395538, 34.28039381, 187, 130, 130, 80,  On

1, -118.415428, 34.28261684, 134, 130, 130, 90,  On
2, -118.473067, 34.20636369, 97, 130, 130, 90,  On
3, -118.354912, 34.03423482, 175, 80, 80, 40, On
4, -118.438207, 34.0904128, 240, 60, 60, 35, On
5, -118.273858, 34.00380581, 251, 60, 60, 35, On
6, -118.535956, 34.20830381, 90, 60, 60, 35, On
7, -118.553515, 34.24260283, 0, 60, 60, 35, On
8, -118.17016, 34.0893778, 15, 110, 110, 30, On
9, -118.246597, 34.09834182, 307, 110, 110, 25, On
10, -118.309408, 34.0908988, 0, 110, 110, 50, On
11, -118.415428, 34.28261684, 134, 130, 130, 90,  On

1, -118.427605, 34.27269882, 156, 60, 60, 80,  On
2, -118.474315, 34.1975128, 90, 60, 60, 80,  On
3, -118.39093, 34.03121081, 180, 80, 80, 40, On
4, -118.443661, 34.09966483, 250, 60, 60, 35, On
5, -118.273822, 34.01100581, 0, 60, 60, 35, On
6, -118.536037, 34.1938048, 0, 60, 60, 35, On
7, -118.571461, 34.24260283, 0, 60, 60, 35, On
8, -118.165102, 34.0905118, 40, 110, 110, 30, On
9, -118.24225, 34.09345273, 312, 110, 110, 25, On
10, -118.319308, 34.09088081, 0, 110, 110, 40, On
11, -118.427605, 34.27269882, 156, 60, 60, 80,  On

1, -118.444075, 34.26661482, 45, 30, 30, 80,  On
2, -118.474306, 34.18693782, 77, 20, 20, 80,  On
3, -118.431673, 34.03202983, 230, 80, 80, 40, On
4, -118.446712, 34.1091058, 280, 60, 60, 35, On
5, -118.265218, 34.01100581, 359, 60, 60, 35, On
6, -118.552417, 34.19379581, 274, 60, 60, 35, On
7, -118.588516, 34.24250383, 251, 60, 60, 35, On
8, -118.1593491, 34.0944682, 47, 110, 110, 30, On
